round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
quarter,Roger Federer,2-6 6-3 6-0 7-5,2010,m,Roger Federer,Nikolay Davydenko,SUI,RUS,60%,62%,9,1,4,4,67%,59%,49%,39%,209,207,189,176,150,150,57%,26%,47%,39%,125,104,35,35,43,50,68%,58%
Fourth,Roger Federer,6-2 6-3 6-4,2010,m,Roger Federer,Lleyton Hewitt,SUI,AUS,63%,60%,7,5,0,2,76%,62%,66%,45%,211,196,190,175,149,140,33%,20%,44%,28%,102,77,49,18,27,18,54%,52%
Fourth,Novak Djokovic,6-1 6-2 7-5,2010,m,Novak Djokovic,Lukasz Kubot,SRB,POL,69%,62%,11,4,1,4,80%,68%,70%,31%,202,209,183,189,158,162,67%,50%,44%,23%,92,58,37,18,17,25,58%,49%
Fourth,Rafael Nadal,6-4 4-6 6-4 6-4,2010,m,Rafael Nadal,Ivo Karlovic,ESP,CRO,71%,68%,2,28,2,2,78%,78%,73%,62%,196,222,172,208,139,167,50%,50%,27%,23%,107,101,35,55,15,42,61%,64%
Third,Roger Federer,6-3 6-4 6-4,2010,m,Roger Federer,Albert Montanes,SUI,ESP,66%,60%,10,7,3,1,88%,60%,56%,64%,206,198,189,180,149,145,50%,-,38%,22%,96,74,36,18,39,33,73%,70%
Third,Novak Djokovic,6-1 6-1 6-2,2010,m,Novak Djokovic,Denis Istomin,SRB,UZB,59%,55%,3,3,7,0,73%,39%,45%,26%,199,197,187,176,158,138,64%,22%,67%,35%,87,49,29,11,25,31,71%,38%
Third,Rafael Nadal,6-4 6-2 2-6 7-5,2010,m,Rafael Nadal,Philipp Kohlschreiber,ESP,GER,62%,61%,6,11,3,4,69%,68%,51%,48%,200,206,177,187,141,156,42%,20%,39%,37%,137,129,36,41,38,58,71%,58%
Second,Roger Federer,6-2 6-3 6-2,2010,m,Roger Federer,Victor Hanescu,SUI,ROU,67%,70%,8,3,1,1,82%,56%,63%,46%,204,203,192,189,153,159,45%,0%,47%,24%,96,64,52,20,18,26,81%,62%
Second,Novak Djokovic,3-6 6-1 6-1 6-3,2010,m,Novak Djokovic,Marco Chiudinelli,SRB,SUI,63%,56%,12,3,9,3,75%,58%,33%,42%,202,208,186,187,158,147,44%,18%,48%,38%,124,103,46,25,61,42,73%,58%
Second,Rafael Nadal,6-2 6-2 6-2,2010,m,Rafael Nadal,Lukas Lacko,ESP,SVK,55%,40%,1,2,1,5,71%,59%,69%,35%,202,203,186,185,143,154,70%,100%,52%,29%,89,55,15,13,30,58,80%,56%
First,Roger Federer,4-6 6-2 7-6(2) 6-0,2010,m,Roger Federer,Igor Andreev,SUI,RUS,58%,63%,9,2,3,7,75%,56%,51%,37%,204,208,181,184,153,140,47%,45%,48%,34%,135,103,29,26,38,55,74%,59%
First,Novak Djokovic,7-5 6-3 6-2,2010,m,Novak Djokovic,Daniel Gimeno-Traver,SRB,ESP,69%,60%,4,5,5,5,76%,71%,57%,33%,198,192,175,176,158,153,36%,17%,42%,28%,103,78,23,24,28,47,63%,82%
First,Rafael Nadal,7-6(0) 6-1 6-4,2010,m,Rafael Nadal,Peter Luczak,ESP,AUS,69%,59%,11,7,1,6,76%,70%,56%,35%,200,197,174,185,142,149,44%,14%,41%,30%,113,82,35,29,16,38,86%,72%
Final,Novak Djokovic,6-4 6-2 6-3,2011,m,Novak Djokovic,Andy Murray,SRB,GBR,67%,53%,6,6,0,4,70%,64%,60%,31%,208,216,192,194,0,0,39%,75%,51%,33%,106,78,26,21,33,47,64%,39%
semi,Novak Djokovic,7-6(3) 7-5 6-4,2011,m,Novak Djokovic,Roger Federer,SRB,SUI,69%,60%,6,5,5,0,73%,71%,41%,48%,207,203,191,189,149,157,36%,30%,38%,37%,119,111,29,35,35,44,62%,65%
quarter,Novak Djokovic,6-1 7-6(5) 6-1,2011,m,Novak Djokovic,Tomas Berdych,SRB,CZE,68%,53%,10,5,1,5,82%,71%,41%,36%,206,218,192,200,150,156,50%,50%,46%,31%,107,80,34,29,21,32,75%,47%
quarter,Roger Federer,6-1 6-3 6-3,2011,m,Roger Federer,Stanislas Wawrinka,SUI,SUI,77%,58%,5,1,0,0,72%,57%,76%,56%,207,214,188,184,156,144,71%,0%,43%,27%,90,66,29,21,24,30,63%,48%
Fourth,Rafael Nadal,6-2 6-4 6-3,2011,m,Rafael Nadal,Marin Cilic,ESP,CRO,73%,55%,3,8,3,4,79%,76%,48%,33%,200,201,183,187,140,152,36%,0%,43%,29%,103,82,26,32,21,48,94%,68%
Fourth,Novak Djokovic,6-3 6-4 6-0,2011,m,Novak Djokovic,Nicolas Almagro,SRB,ESP,75%,59%,12,5,4,2,86%,61%,47%,44%,206,212,188,198,147,151,38%,0%,46%,24%,93,60,31,15,17,35,82%,50%
Fourth,Roger Federer,6-3 3-6 6-3 6-2,2011,m,Roger Federer,Tommy Robredo,SUI,ESP,69%,62%,10,6,1,1,79%,72%,61%,49%,203,205,184,176,149,142,40%,50%,37%,27%,117,97,50,28,40,21,72%,58%
Third,Rafael Nadal,6-2 7-5 6-3,2011,m,Rafael Nadal,Bernard Tomic,ESP,AUS,58%,64%,4,11,4,3,68%,64%,54%,35%,207,201,182,185,141,141,37%,25%,45%,37%,108,92,32,39,32,49,68%,62%
Third,Novak Djokovic,6-2 ret.,2011,m,Novak Djokovic,Viktor Troicki,SRB,SRB,77%,61%,1,2,0,1,59%,65%,80%,13%,206,199,195,183,159,144,50%,100%,54%,36%,35,25,11,7,8,17,60%,45%
Third,Roger Federer,6-3 6-3 6-1,2011,m,Roger Federer,Xavier Malisse,SUI,BEL,64%,60%,6,4,1,2,66%,53%,57%,35%,204,199,179,184,153,135,41%,67%,53%,37%,98,70,36,16,36,30,68%,58%
Second,Rafael Nadal,6-2 6-1 6-1,2011,m,Rafael Nadal,Ryan Sweeting,ESP,USA,63%,73%,7,2,4,5,83%,46%,54%,38%,209,195,191,154,145,139,53%,50%,53%,26%,90,52,36,14,25,28,94%,69%
Second,Novak Djokovic,7-5 6-7(8) 6-0 6-2,2011,m,Novak Djokovic,Ivan Dodig,SRB,CRO,65%,58%,9,8,3,6,75%,68%,64%,47%,204,207,189,183,154,142,35%,20%,39%,28%,146,121,49,23,50,39,56%,47%
Second,Roger Federer,6-2 6-3 4-6 4-6 6-3,2011,m,Roger Federer,Gilles Simon,SUI,FRA,61%,57%,11,9,1,5,79%,56%,43%,55%,208,200,188,177,153,138,44%,56%,43%,35%,151,130,51,44,53,40,72%,44%
First,Rafael Nadal,6-0 5-0 ret.,2011,m,Rafael Nadal,Marcos Daniel,ESP,BRA,54%,65%,4,0,3,0,84%,12%,56%,0%,205,194,185,168,145,139,100%,0%,92%,26%,49,12,25,0,10,18,80%,0%
First,Novak Djokovic,6-1 6-3 6-1,2011,m,Novak Djokovic,Marcel Granollers,SRB,ESP,67%,48%,7,3,1,3,75%,68%,68%,24%,206,207,194,188,155,143,58%,50%,53%,27%,84,47,34,15,17,26,68%,55%
First,Roger Federer,6-1 6-1 6-3,2011,m,Roger Federer,Lukas Lacko,SUI,SVK,64%,67%,8,3,1,1,87%,59%,67%,22%,206,202,183,186,151,149,50%,100%,52%,20%,91,51,37,11,18,27,80%,50%
Final,Novak Djokovic,5-7 6-4 6-2 6-7(5) 7-5,2012,m,Novak Djokovic,Rafael Nadal,SRB,ESP,59%,67%,9,10,2,4,68%,66%,63%,45%,202,204,190,183,150,136,35%,67%,41%,34%,193,176,57,44,69,71,74%,84%
semi,Novak Djokovic,6-3 3-6 6-7(4) 6-1 7-5,2012,m,Novak Djokovic,Andy Murray,SRB,GBR,61%,63%,11,9,6,10,66%,64%,45%,30%,203,215,189,184,157,139,42%,29%,49%,42%,184,161,49,47,69,86,75%,70%
semi,Rafael Nadal,6-7(5) 6-2 7-6(5) 6-4,2012,m,Rafael Nadal,Roger Federer,ESP,SUI,77%,64%,4,11,1,5,69%,66%,63%,55%,194,207,172,185,137,154,38%,30%,38%,33%,146,130,36,46,34,63,33%,61%
quarter,Novak Djokovic,6-4 7-6(4) 6-1,2012,m,Novak Djokovic,David Ferrer,SRB,ESP,53%,65%,3,2,0,1,71%,61%,67%,50%,199,193,186,178,151,145,42%,50%,43%,31%,105,84,35,18,39,36,78%,50%
quarter,Roger Federer,6-4 6-3 6-2,2012,m,Roger Federer,Juan Martin Del Potro,SUI,ARG,57%,67%,5,5,1,3,89%,57%,58%,55%,200,207,180,192,151,151,63%,17%,44%,25%,96,68,38,20,22,27,75%,73%
quarter,Rafael Nadal,6-7(5) 7-6(6) 6-4 6-3,2012,m,Rafael Nadal,Tomas Berdych,ESP,CZE,71%,62%,6,17,2,5,76%,74%,49%,45%,200,219,178,193,137,153,38%,15%,37%,32%,157,147,57,66,30,56,77%,53%
Fourth,Novak Djokovic,6-1 6-3 4-6 6-3,2012,m,Novak Djokovic,Lleyton Hewitt,SRB,AUS,62%,53%,15,3,3,6,73%,68%,56%,36%,202,195,191,171,153,139,67%,67%,47%,33%,126,100,55,23,34,37,52%,79%
Fourth,Roger Federer,6-4 6-2 6-2,2012,m,Roger Federer,Bernard Tomic,SUI,AUS,58%,75%,13,0,3,2,84%,56%,56%,38%,206,196,188,174,153,137,60%,20%,48%,28%,101,70,45,13,28,32,76%,38%
Fourth,Rafael Nadal,6-4 6-4 6-2,2012,m,Rafael Nadal,Feliciano Lopez,ESP,ESP,80%,57%,4,10,1,6,81%,66%,64%,38%,199,215,175,200,134,161,28%,25%,46%,23%,105,75,20,26,14,52,71%,72%
Third,Novak Djokovic,6-0 6-1 6-1,2012,m,Novak Djokovic,Nicolas Mahut,SRB,FRA,62%,65%,7,0,1,5,84%,49%,70%,22%,204,199,186,182,152,159,62%,0%,61%,21%,81,37,31,12,8,26,67%,45%
Third,Roger Federer,7-6(6) 7-5 6-3,2012,m,Roger Federer,Ivo Karlovic,SUI,CRO,62%,71%,9,15,0,3,80%,76%,74%,34%,203,211,182,199,150,169,33%,0%,36%,22%,120,98,55,40,13,35,69%,52%
Third,Rafael Nadal,6-2 6-4 6-2,2012,m,Rafael Nadal,Lukas Lacko,ESP,SVK,81%,67%,2,8,0,3,85%,60%,46%,42%,197,202,172,179,132,151,50%,20%,46%,22%,89,57,27,17,19,30,75%,70%
Second,Novak Djokovic,6-3 6-2 6-1,2012,m,Novak Djokovic,Santiago Giraldo,SRB,COL,55%,52%,9,3,2,3,81%,63%,66%,31%,201,200,188,183,148,148,54%,50%,52%,26%,86,52,27,13,21,39,69%,50%
Second,Rafael Nadal,6-4 6-3 6-4,2012,m,Rafael Nadal,Tommy Haas,ESP,GER,64%,63%,2,8,2,4,75%,61%,55%,46%,196,203,176,187,135,156,60%,50%,45%,33%,96,78,36,30,17,38,82%,55%
First,Novak Djokovic,6-2 6-0 6-0,2012,m,Novak Djokovic,Paolo Lorenzi,SRB,ITA,73%,52%,4,0,1,5,73%,56%,47%,7%,197,188,178,177,147,145,69%,20%,67%,34%,82,41,22,10,13,30,81%,58%
First,Roger Federer,7-5 6-2 6-2,2012,m,Roger Federer,Alexander Kudryavtsev,SUI,RUS,63%,42%,14,4,2,4,80%,65%,56%,40%,207,209,181,195,NULL,NULL,46%,25%,49%,29%,106,70,43,21,33,42,44%,67%
First,Rafael Nadal,6-4 6-1 6-1,2012,m,Rafael Nadal,Alex Kuznetsov,ESP,USA,68%,65%,9,5,2,2,86%,49%,65%,46%,197,207,180,188,137,149,60%,0%,52%,21%,88,49,42,16,14,26,85%,36%
Final,Novak Djokovic,6-7(2) 7-6(3) 6-3 6-2,2013,m,Novak Djokovic,Andy Murray,SRB,GBR,63%,60%,8,7,3,5,75%,81%,66%,46%,209,211,188,186,155,133,27%,0%,33%,28%,139,126,47,29,61,46,85%,60%
semi,Novak Djokovic,6-2 6-2 6-1,2013,m,Novak Djokovic,David Ferrer,SRB,ESP,63%,60%,6,1,0,3,91%,56%,79%,30%,203,197,188,182,154,148,100%,-,55%,14%,85,41,30,11,16,32,81%,33%
quarter,Roger Federer,7-6(4) 4-6 7-6(4) 3-6 6-3,2013,m,Roger Federer,Jo-Wilfried Tsonga,SUI,FRA,61%,67%,6,20,3,1,77%,75%,56%,47%,207,218,189,194,156,147,22%,56%,34%,31%,169,164,49,66,47,61,72%,66%
quarter,Novak Djokovic,6-1 4-6 6-1 6-4,2013,m,Novak Djokovic,Tomas Berdych,SRB,CZE,67%,60%,10,8,2,5,78%,66%,63%,42%,203,211,184,193,152,158,43%,25%,44%,27%,118,86,47,31,25,43,85%,73%
Fourth,Roger Federer,6-4 7-6(4) 6-2,2013,m,Roger Federer,Milos Raonic,SUI,CAN,64%,67%,14,19,1,5,90%,70%,75%,50%,207,233,189,207,155,165,43%,-,36%,15%,101,73,34,37,12,41,93%,60%
Fourth,Novak Djokovic,1-6 7-5 6-4 6-7(5) 12-10,2013,m,Novak Djokovic,Stanislas Wawrinka,SRB,SUI,66%,62%,7,16,5,2,71%,68%,55%,52%,205,222,188,194,145,158,47%,39%,38%,34%,209,200,51,69,66,93,75%,69%
Third,Roger Federer,6-4 7-6(5) 6-1,2013,m,Roger Federer,Bernard Tomic,SUI,AUS,69%,69%,11,8,4,2,88%,67%,45%,42%,207,211,187,189,156,151,19%,0%,40%,25%,120,96,46,42,20,41,87%,77%
Third,Novak Djokovic,6-4 6-3 7-5,2013,m,Novak Djokovic,Radek Stepanek,SRB,CZE,66%,69%,7,4,1,3,86%,69%,66%,42%,204,203,187,186,153,156,27%,0%,39%,21%,109,83,37,26,19,37,68%,54%
Second,Roger Federer,6-3 6-4 6-4,2013,m,Roger Federer,Nikolay Davydenko,SUI,RUS,68%,66%,9,9,2,3,76%,63%,66%,47%,205,210,185,177,157,148,23%,-,42%,27%,111,86,35,17,42,39,74%,55%
Second,Novak Djokovic,6-1 6-2 6-3,2013,m,Novak Djokovic,Ryan Harrison,SRB,USA,73%,63%,7,6,0,3,85%,56%,87%,36%,205,223,190,196,157,163,46%,-,51%,14%,94,52,37,17,16,28,67%,27%
First,Roger Federer,6-2 6-4 6-1,2013,m,Roger Federer,Benoit Paire,SUI,FRA,64%,60%,3,8,0,8,84%,64%,60%,33%,208,204,185,185,156,142,50%,0%,44%,25%,95,63,25,21,18,27,81%,38%
First,Novak Djokovic,6-2 6-4 7-5,2013,m,Novak Djokovic,Paul-Henri Mathieu,SRB,FRA,64%,67%,9,5,2,4,84%,72%,75%,39%,202,200,186,182,154,158,57%,0%,37%,19%,95,68,31,27,15,32,75%,57%
Final,Roger Federer,7-6(3) 6-4 6-2,2004,m,Roger Federer,Marat Safin,SUI,RUS,53%,49%,8,3,2,5,75%,63%,60%,47%,201,209,178,187,140,140,28%,67%,45%,32%,113,93,40,19,28,41,68%,55%
semi,Roger Federer,6-4 6-1 6-4,2004,m,Roger Federer,Juan Carlos Ferrero,SUI,ESP,72%,58%,11,6,1,0,83%,66%,43%,53%,195,195,179,177,144,144,67%,0%,39%,28%,88,66,34,21,22,19,76%,58%
quarter,Roger Federer,7-5 6-4 5-7 6-3,2004,m,Roger Federer,David Nalbandian,SUI,ARG,60%,65%,20,5,3,2,83%,68%,43%,61%,200,185,181,167,139,139,42%,27%,34%,33%,125,119,50,26,55,30,79%,57%
Fourth,Roger Federer,4-6 6-3 6-0 6-4,2004,m,Roger Federer,Lleyton Hewitt,SUI,AUS,59%,65%,14,5,4,5,74%,66%,56%,49%,200,200,179,175,146,146,38%,14%,40%,33%,123,107,53,17,41,29,60%,41%
Third,Roger Federer,6-3 6-0 6-1,2004,m,Roger Federer,Todd Reid,SUI,AUS,54%,58%,5,1,3,3,74%,44%,65%,33%,193,196,173,159,129,129,57%,100%,61%,30%,83,45,31,6,29,31,79%,46%
Second,Rafael Nadal,6-4 3-6 7-5 6-1,2004,m,Rafael Nadal,Thierry Ascione,ESP,FRA,69%,61%,0,5,5,4,72%,55%,47%,53%,185,204,155,171,147,147,37%,40%,46%,35%,136,116,29,40,40,73,70%,60%
Second,Roger Federer,6-2 6-3 6-4,2004,m,Roger Federer,Jeff Morrison,SUI,USA,62%,59%,5,8,2,0,77%,67%,66%,45%,198,211,179,191,159,159,36%,0%,42%,27%,100,77,32,31,15,14,77%,48%
quarter,Roger Federer,6-3 6-4 6-4,2005,m,Roger Federer,Andre Agassi,SUI,USA,66%,56%,22,1,4,2,77%,75%,62%,51%,209,202,193,176,151,151,50%,0%,35%,28%,99,79,46,13,31,20,68%,68%
Fourth,Roger Federer,6-2 6-2 7-6(4),2005,m,Roger Federer,Marcos Baghdatis,SUI,CYP,60%,53%,9,4,0,1,85%,59%,65%,56%,210,202,186,186,139,139,63%,100%,43%,23%,101,73,36,25,23,25,67%,64%
Third,Rafael Nadal,6-1 6-1 6-3,2005,m,Rafael Nadal,Bobby Reynolds,ESP,USA,62%,54%,2,3,3,9,81%,54%,54%,38%,191,209,172,191,165,165,50%,50%,54%,29%,86,52,23,15,18,46,100%,43%
Third,Roger Federer,6-3 5-2 ret.,2005,m,Roger Federer,Jarkko Nieminen,SUI,FIN,71%,64%,2,1,1,3,66%,44%,57%,45%,209,202,181,178,130,130,71%,40%,55%,37%,62,43,19,14,19,15,63%,27%
Second,Rafael Nadal,6-1 4-6 4-6 7-5 6-3,2005,m,Rafael Nadal,Mikhail Youzhny,ESP,RUS,71%,52%,0,9,2,5,66%,64%,47%,48%,197,205,168,191,151,151,64%,43%,44%,40%,153,140,29,55,33,57,70%,65%
Second,Roger Federer,6-3 6-4 6-4,2005,m,Roger Federer,Takao Suzuki,SUI,JPN,70%,68%,7,7,0,3,76%,55%,68%,62%,207,210,185,196,154,154,36%,25%,43%,26%,107,82,50,29,10,11,67%,51%
First,Rafael Nadal,6-0 6-4 6-2,2005,m,Rafael Nadal,Julien Benneteau,ESP,FRA,77%,53%,1,2,1,6,77%,51%,54%,36%,193,199,173,183,144,144,80%,67%,59%,30%,82,45,27,8,16,34,67%,44%
First,Roger Federer,6-1 6-1 6-2,2005,m,Roger Federer,Fabrice Santoro,SUI,FRA,60%,69%,4,1,1,2,80%,49%,56%,43%,204,193,178,159,138,138,39%,0%,53%,29%,100,66,54,9,23,20,76%,40%
Final,Roger Federer,5-7 7-5 6-0 6-2,2006,m,Roger Federer,Marcos Baghdatis,SUI,CYP,53%,48%,11,6,6,2,71%,71%,51%,37%,209,217,185,197,146,146,67%,30%,46%,38%,142,116,50,34,48,48,78%,52%
semi,Roger Federer,6-3 5-7 6-0 6-2,2006,m,Roger Federer,Nicolas Kiefer,SUI,GER,66%,51%,7,14,5,7,71%,71%,67%,38%,205,222,186,196,154,154,32%,25%,45%,30%,129,99,39,33,33,53,79%,70%
quarter,Roger Federer,6-4 3-6 7-6(7) 7-6(5),2006,m,Roger Federer,Nikolay Davydenko,SUI,RUS,62%,77%,6,1,0,2,74%,70%,53%,42%,210,209,189,173,151,151,40%,50%,36%,34%,144,139,46,30,52,48,60%,72%
Fourth,Roger Federer,6-4 6-0 3-6 4-6 6-2,2006,m,Roger Federer,Tommy Haas,SUI,GER,58%,64%,10,5,1,0,78%,63%,53%,57%,217,209,191,191,152,152,55%,22%,39%,33%,143,127,66,31,58,36,66%,69%
Third,Roger Federer,6-3 6-4 6-3,2006,m,Roger Federer,Max Mirnyi,SUI,BLR,67%,67%,6,5,2,6,79%,69%,87%,31%,205,220,188,201,165,165,27%,0%,44%,19%,104,74,48,22,10,25,75%,53%
Second,Roger Federer,6-1 6-4 6-0,2006,m,Roger Federer,Florian Mayer,SUI,GER,61%,64%,9,2,1,5,76%,52%,62%,44%,201,201,180,183,139,139,60%,0%,51%,30%,87,56,38,20,18,21,80%,53%
First,Roger Federer,6-2 6-3 6-2,2006,m,Roger Federer,Denis Istomin,SUI,UZB,69%,64%,2,8,0,3,83%,58%,57%,37%,202,207,176,191,152,152,55%,33%,49%,25%,91,59,20,15,19,39,81%,57%
Final,Roger Federer,7-6(2) 6-4 6-4,2007,m,Roger Federer,Fernando Gonzalez,SUI,CHI,58%,61%,5,6,1,3,82%,69%,78%,46%,,,,,,,30%,100%,40%,20%,120,93,45,31,19,28,79%,64%
semi,Roger Federer,6-4 6-0 6-2,2007,m,Roger Federer,Andy Roddick,SUI,USA,51%,63%,10,4,2,2,81%,54%,68%,29%,,,,,,,100%,100%,55%,25%,83,45,45,11,12,18,91%,29%
quarter,Roger Federer,6-3 7-6(2) 7-5,2007,m,Roger Federer,Tommy Robredo,SUI,ESP,63%,61%,5,4,1,4,72%,63%,58%,37%,,,,,,,50%,50%,47%,33%,119,94,42,17,31,28,73%,57%
Fourth,Rafael Nadal,6-7(3) 6-4 4-6 6-3 6-1,2007,m,Rafael Nadal,Andy Murray,ESP,GBR,73%,53%,5,15,1,9,69%,74%,55%,43%,,,,,,,44%,18%,38%,35%,166,149,53,64,32,67,72%,69%
Fourth,Roger Federer,6-2 7-5 6-3,2007,m,Roger Federer,Novak Djokovic,SUI,SRB,63%,61%,12,7,1,2,80%,61%,67%,46%,,,,,,,63%,50%,45%,25%,105,76,51,17,26,33,63%,54%
Third,Rafael Nadal,6-2 6-2 6-2,2007,m,Rafael Nadal,Stanislas Wawrinka,ESP,SUI,74%,57%,1,4,3,2,84%,58%,39%,33%,,,,,,,64%,100%,53%,27%,99,62,21,25,19,32,73%,62%
Third,Novak Djokovic,6-3 6-4 5-7 6-1,2007,m,Novak Djokovic,Danai Udomchoke,SRB,THA,74%,53%,15,1,1,4,68%,64%,55%,47%,,,,,,,47%,33%,44%,36%,131,111,59,25,55,32,69%,63%
Third,Roger Federer,6-3 6-3 7-6(5),2007,m,Roger Federer,Mikhail Youzhny,SUI,RUS,53%,54%,7,7,1,1,83%,78%,53%,39%,,,,,,,50%,25%,40%,31%,109,92,40,25,33,27,80%,50%
Second,Rafael Nadal,7-5 6-3 4-6 6-2,2007,m,Rafael Nadal,Philipp Kohlschreiber,ESP,GER,65%,53%,4,8,6,3,70%,60%,50%,50%,,,,,,,33%,31%,45%,37%,136,117,37,48,29,58,67%,62%
Second,Novak Djokovic,6-2 7-5 6-1,2007,m,Novak Djokovic,Feliciano Lopez,SRB,ESP,69%,59%,8,5,1,6,69%,64%,67%,32%,,,,,,,40%,20%,49%,31%,103,73,24,24,19,36,56%,49%
Second,Roger Federer,6-2 6-3 6-2,2007,m,Roger Federer,Jonas Bjorkman,SUI,SWE,64%,60%,7,2,1,3,74%,52%,67%,38%,,,,,,,58%,100%,53%,29%,93,59,38,19,19,27,76%,47%
First,Rafael Nadal,7-6(6) 6-3 6-2,2007,m,Rafael Nadal,Robert Kendrick,ESP,USA,61%,57%,7,7,2,6,75%,75%,71%,38%,,,,,,,43%,-,41%,26%,104,81,29,32,14,43,72%,54%
First,Roger Federer,7-5 6-0 6-4,2007,m,Roger Federer,Bjorn Phau,SUI,GER,71%,49%,7,3,1,3,70%,54%,52%,35%,,,,,,,47%,67%,56%,35%,111,75,29,16,29,32,75%,61%
First,Novak Djokovic,6-1 6-1 6-0,2007,m,Novak Djokovic,Nicolas Massu,SRB,CHI,68%,54%,5,1,1,4,83%,46%,58%,38%,,,,,,,53%,0%,58%,25%,84,44,36,11,15,20,85%,40%
